"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",-9.63279353333333,13.9588677419355,16.2825315315315,-20.4543871794872,13.4473333333333,-15.3682571428571,-19.3325714285714,-11.0456814285714,-36.2509065420561,-39.18928,-39.0240217391304,-38.4221567164179,-40.2526,-40.38996,-34.14785,-43.1727826086957,-43.1776911764706,-38.0828333333333,-13.0331469135803,-22.7926153846154,-15.9730842105263,-4.42357272727273,-21.6954,-33.5913933333333,-16.2782958333333,-26.5445133333333,-13.3907,-17.1280526315789,-33.7354888888889,-46.1535,-31.133,-4.63352897435897
"2",-9.63279353333333,15.101,16.2825315315315,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-11.0456814285714,-36.2509065420561,-39.18928,-39.0240217391304,-38.4221567164179,-40.2526,-40.38996,-34.14785,-43.1727826086957,-43.1776911764706,-38.0828333333333,-3.74629434782609,-19.3905984375,-15.9730842105263,-4.42357272727273,-29.7312142857143,-33.5913933333333,-16.2782958333333,-26.5445133333333,-13.3907,-17.1280526315789,-33.7354888888889,-46.1535,-16.4024352173913,-11.1544493333333
"3",-9.63279353333333,13.9588677419355,16.2825315315315,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-13.4134448571429,-36.2509065420561,-39.18928,-39.0240217391304,-35.5712045454546,-21.2281411764706,-40.38996,-12.6429,-43.1727826086957,-43.1776911764706,-38.0828333333333,-37.17625,-19.3905984375,-15.9730842105263,-4.42357272727273,-29.7312142857143,-33.5913933333333,-16.2782958333333,-26.5445133333333,-13.3907,-17.1280526315789,-33.7354888888889,-46.1535,-16.4024352173913,-46.1295319148936
"4",-9.63279353333333,13.9588677419355,16.2825315315315,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-13.4134448571429,-19.2643239130435,-28.7043664122138,-25.6619682539683,-35.5712045454546,-32.2357777777778,-40.38996,-12.6429,-43.1727826086957,-43.1776911764706,-38.0828333333333,-2.942865,-27.036125,-15.9730842105263,-4.42357272727273,-38.2202666666667,-33.5913933333333,-16.2782958333333,-42.5792940594059,-13.3907,-17.1280526315789,-33.7354888888889,-46.1535,-16.4024352173913,-46.1295319148936
"5",-9.63279353333333,13.9588677419355,16.2825315315315,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-13.4134448571429,-19.2643239130435,-28.7043664122138,-25.6619682539683,-35.5712045454546,-32.2357777777778,-40.38996,-12.6429,-43.1727826086957,-43.1776911764706,-38.0828333333333,-38.7203391304348,-34.4810833333333,-47.8241052631579,-25.2958333333333,-31.5417857142857,-22.75625,-45.3978139534884,-42.5792940594059,-13.3907,-33.0321475409836,-33.7354888888889,-46.1535,-31.133,-46.1295319148936
"6",-9.63279353333333,13.9588677419355,16.2825315315315,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-13.4134448571429,-19.2643239130435,-28.7043664122138,-32.80475,-35.5712045454546,-32.2357777777778,-40.38996,-25.1542072463768,-43.1727826086957,-43.1776911764706,-38.0828333333333,-38.7203391304348,-34.4810833333333,-47.8241052631579,-25.2958333333333,-31.5417857142857,-41.8540416666667,-45.3978139534884,-42.5792940594059,-30.9662830188679,-33.0321475409836,-33.7354888888889,-46.1535,-31.133,-46.1295319148936
"7",-9.63279353333333,13.9588677419355,-20.3256101744186,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-13.4134448571429,-19.2643239130435,-28.7043664122138,-32.80475,-35.5712045454546,-29.2211111111111,-40.38996,-25.1542072463768,-43.1727826086957,-43.1776911764706,-38.0828333333333,-38.7203391304348,-34.4810833333333,-47.8241052631579,-25.2958333333333,-31.5417857142857,-41.8540416666667,-45.3978139534884,-42.5792940594059,-30.9662830188679,-33.0321475409836,-33.7354888888889,-46.1535,-31.133,-46.1295319148936
"8",-9.63279353333333,6.35168,-20.3256101744186,-20.4543871794872,13.4473333333333,-31.8012170212766,-33.8261985815603,-13.4134448571429,-19.2643239130435,-28.7043664122138,-32.80475,-35.5712045454546,-29.2211111111111,12.9419666666667,-25.1542072463768,-44.8465151515152,-21.0327142857143,-4.10322777777778,-19.3395125,-34.4810833333333,-47.8241052631579,-25.2958333333333,-31.5417857142857,-41.8540416666667,-45.3978139534884,-0.7987528125,-30.9662830188679,-33.0321475409836,-33.7354888888889,-46.1535,-31.133,-46.1295319148936
"9",-17.351824137931,-15.9333163636364,-20.3256101744186,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-37.4773702564102,-28.138625,-34.4224857142857,-35.5712045454546,-29.2211111111111,-41.4766356589147,-21.7150083333333,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-43.2311481481481,-32.3544210526316,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
"10",-22.3433087301587,-15.9333163636364,-4.73988888888889,-23.7187012903226,4.16842,-4.942802,-7.953569,-34.0106031007752,-27.4882666666667,-28.138625,-34.4224857142857,-35.5712045454546,-32.2357777777778,-41.4766356589147,-42.6903385826771,-41.2704230769231,-42.9696829268293,-30.30345,-35.2504705882353,-40.4184181818182,-43.2311481481481,-43.9109833333333,-27.8628,-39.1106304347826,-45.57375,-45.948918699187,-23.290875,-25.59,-42.6082727272727,-45.6726832298136,-45.4185,-40.5272
